"site";"date";"doy";"longitude";"latitude";"pluie";"tmin";"tmax";"tmoy";"hmin";"hmax";"hmoy";"etp";"irrig";"C10";"GDD10";"kv";"ieff";"Tv";"Peff";"D";"Nb_j_Es_co_PD";"Jours_Es";"Es_th";"Cumul_P_si_jour_Es";"Cumul_Es_reelle";"Cumul_ES_max_depuis_jours_Es_sup_0";"Es_max";"Es_reelle";"ETR";"ATSW";"FTSW";"PHFB80";"PHFB120";"PHFB180"
"RSH-StHil-Gre-sec";2021-01-01;1;4,58;43,96;0;4,9;7,9;6,4;63;97;80;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;0;0;0
"RSH-StHil-Gre-sec";2021-01-02;2;4,58;43,96;0;3,8;5,1;4,5;62;75;69;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-03;3;4,58;43,96;9,2;2,7;4,9;3,8;61;71;66;1,7;0;0;0;0;0;0;9,2;9,2;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-04;4;4,58;43,96;7,3;2,1;2,8;2,5;72;86;79;0,6;0;0;0;0;0;0;7,3;7,3;1;1;0,6;2,66453525910038e-15;0;2,66453525910038e-15;2,66453525910038e-15;2,66453525910038e-15;2,66453525910038e-15;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-05;5;4,58;43,96;0;-0,3;5,9;2,8;63;92;77;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-06;6;4,58;43,96;0;-1,3;5,9;2,3;55;84;70;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-07;7;4,58;43,96;0;-3,5;5,7;1,1;53;85;69;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-08;8;4,58;43,96;0;1,9;6,9;4,4;46;79;63;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-09;9;4,58;43,96;0;1,7;5,4;3,5;54;74;64;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-10;10;4,58;43,96;0;2,2;4,2;3,2;50;64;57;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-11;11;4,58;43,96;0;1,1;4,6;2,8;41;66;54;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-12;12;4,58;43,96;0;0,4;11,1;5,7;50;71;61;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-13;13;4,58;43,96;0;0,5;16,3;8,4;48;90;69;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-14;14;4,58;43,96;0;2,7;15;8,9;42;90;66;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-15;15;4,58;43,96;0;1,1;11,8;6,5;51;96;73;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-16;16;4,58;43,96;0,2;1,5;6,3;3,9;43;79;61;1,8;0;0;0;0;0;0;0,2;0,200000000000003;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-17;17;4,58;43,96;0;1,6;12,1;6,8;54;90;72;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-18;18;4,58;43,96;0;3,5;10,5;7;44;82;63;2,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732316;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-19;19;4,58;43,96;0,3;-2,4;11,8;4,7;41;84;62;1,2;0;0;0;0;0;0;0,3;0,299999999999997;1;1;1,2;2,83106871279415e-15;0;2,83106871279415e-15;2,83106871279415e-15;2,83106871279415e-15;2,83106871279415e-15;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-20;20;4,58;43,96;5,5;1,1;13,4;7,2;69;91;80;0;0;0;0;0;0;0;5,5;5,5;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-21;21;4,58;43,96;0;10,2;14,7;12,4;72;95;84;1,1;0;2,4;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-22;22;4,58;43,96;1,9;8,7;14,4;11,5;52;92;72;1,7;0;1,5;3,9;0;0;0;1,9;1,90000000000001;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-23;23;4,58;43,96;1,5;1;12,9;6,9;54;92;73;1,1;0;0;3,9;0;0;0;1,5;1,5;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-24;24;4,58;43,96;0;4,7;11,4;8;43;96;69;1,8;0;0;3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
"RSH-StHil-Gre-sec";2021-01-25;25;4,58;43,96;0;2,4;10,9;6,6;37;93;65;1,6;0;0;3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;100;-0,0104063278732315;-0,0104063278732315;-0,0104063278732315
