"site";"date";"doy";"longitude";"latitude";"pluie";"tmin";"tmax";"tmoy";"hmin";"hmax";"hmoy";"etp"
"RSH-Caira-Gre-sec";2021-01-01;1;4,94;44,21;0;5,1;6,4;5,7;71;97;84;1,2
"RSH-Caira-Gre-sec";2021-01-02;2;4,94;44,21;0,4;2,5;3,4;3;69;83;76;1,2
"RSH-Caira-Gre-sec";2021-01-03;3;4,94;44,21;0;1,6;5,1;3,3;67;80;73;1,4
"RSH-Caira-Gre-sec";2021-01-04;4;4,94;44,21;2,4;0,3;2,7;1,5;76;86;81;0,4
"RSH-Caira-Gre-sec";2021-01-05;5;4,94;44,21;0;-3,8;4,7;0,4;74;98;86;0,5
"RSH-Caira-Gre-sec";2021-01-06;6;4,94;44,21;0;0,7;4,7;2,7;59;79;69;1,6
"RSH-Caira-Gre-sec";2021-01-07;7;4,94;44,21;0;-7,3;5,7;-0,8;56;94;75;0,6
"RSH-Caira-Gre-sec";2021-01-08;8;4,94;44,21;0;-0,2;5,9;2,9;50;79;65;1,7
"RSH-Caira-Gre-sec";2021-01-09;9;4,94;44,21;0;0,1;4,4;2,3;58;74;66;1,6
"RSH-Caira-Gre-sec";2021-01-10;10;4,94;44,21;0;0,5;2,5;1,5;62;74;68;1,6
"RSH-Caira-Gre-sec";2021-01-11;11;4,94;44,21;0;-1,4;3,7;1,1;45;74;59;1,8
"RSH-Caira-Gre-sec";2021-01-12;12;4,94;44,21;0;-0,8;9,1;4,1;53;72;62;1,5
"RSH-Caira-Gre-sec";2021-01-13;13;4,94;44,21;0;3,2;13,3;8,3;62;89;75;1,1
"RSH-Caira-Gre-sec";2021-01-14;14;4,94;44,21;0;7;12,8;9,9;53;82;68;2,3
"RSH-Caira-Gre-sec";2021-01-15;15;4,94;44,21;0;3;9,6;6,3;60;91;75;1,8
"RSH-Caira-Gre-sec";2021-01-16;16;4,94;44,21;0;1,3;5,5;3,4;42;79;61;1,9
"RSH-Caira-Gre-sec";2021-01-17;17;4,94;44,21;0;0;9,8;4,9;58;94;76;1,4
"RSH-Caira-Gre-sec";2021-01-18;18;4,94;44,21;0;4;9,1;6,6;42;78;60;2,6
"RSH-Caira-Gre-sec";2021-01-19;19;4,94;44,21;0;-5,1;11,5;3,2;39;89;64;1,1
"RSH-Caira-Gre-sec";2021-01-20;20;4,94;44,21;5,5;0,2;13,7;6,9;55;88;72;0,7
"RSH-Caira-Gre-sec";2021-01-21;21;4,94;44,21;0;9,7;15,9;12,8;60;84;72;2,4
"RSH-Caira-Gre-sec";2021-01-22;22;4,94;44,21;10,2;10,5;15,7;13,1;58;70;64;2,5
"RSH-Caira-Gre-sec";2021-01-23;23;4,94;44,21;2,4;1,3;8,9;5,1;65;92;78;0,7
"RSH-Caira-Gre-sec";2021-01-24;24;4,94;44,21;0;4;9,5;6,7;40;94;67;1,9
"RSH-Caira-Gre-sec";2021-01-25;25;4,94;44,21;0;1,6;9,1;5,4;37;95;66;1,5
"RSH-Caira-Gre-sec";2021-01-26;26;4,94;44,21;0,8;1,3;7,5;4,4;32;73;53;2,4
"RSH-Caira-Gre-sec";2021-01-27;27;4,94;44,21;0;0,4;12,4;6,4;42;86;64;1,7
"RSH-Caira-Gre-sec";2021-01-28;28;4,94;44,21;0;2,4;17,5;10;52;98;75;0,9
"RSH-Caira-Gre-sec";2021-01-29;29;4,94;44,21;0;7,9;17,6;12,7;40;94;67;1,9
"RSH-Caira-Gre-sec";2021-01-30;30;4,94;44,21;9,1;3,7;8,4;6;59;88;73;0,4
"RSH-Caira-Gre-sec";2021-01-31;31;4,94;44,21;4,3;1,4;15,5;8,4;52;98;75;1,2
"RSH-Caira-Gre-sec";2021-02-01;32;4,94;44,21;6,5;7,1;12,9;10;81;97;89;0,4
"RSH-Caira-Gre-sec";2021-02-02;33;4,94;44,21;0;5,7;14;9,8;77;100;88;0,3
"RSH-Caira-Gre-sec";2021-02-03;34;4,94;44,21;0;6;18,1;12;60;100;80;1,4
"RSH-Caira-Gre-sec";2021-02-04;35;4,94;44,21;0;5;13,4;9,2;78;99;89;0,5
"RSH-Caira-Gre-sec";2021-02-05;36;4,94;44,21;0;7,7;17;12,3;57;96;76;1,2
"RSH-Caira-Gre-sec";2021-02-06;37;4,94;44,21;6,1;7,5;18,2;12,8;46;97;72;1,9
"RSH-Caira-Gre-sec";2021-02-07;38;4,94;44,21;0,9;8,4;11,2;9,8;60;98;79;1,2
"RSH-Caira-Gre-sec";2021-02-08;39;4,94;44,21;3,8;-0,7;11,2;5,3;60;97;79;0,8
"RSH-Caira-Gre-sec";2021-02-09;40;4,94;44,21;11,4;4,6;12,2;8,4;63;98;80;1
"RSH-Caira-Gre-sec";2021-02-10;41;4,94;44,21;0;3,7;14,7;9,2;43;97;70;2,2
"RSH-Caira-Gre-sec";2021-02-11;42;4,94;44,21;0;1,6;8,5;5;51;83;67;2,1
"RSH-Caira-Gre-sec";2021-02-12;43;4,94;44,21;4,4;0,3;6,6;3,4;72;84;78;0,6
"RSH-Caira-Gre-sec";2021-02-13;44;4,94;44,21;0;0,1;5;2,5;62;92;77;1,8
"RSH-Caira-Gre-sec";2021-02-14;45;4,94;44,21;0;-4,3;4,9;0,3;60;90;75;0,4
"RSH-Caira-Gre-sec";2021-02-15;46;4,94;44,21;0;-3,3;11,3;4;37;82;60;1,4
"RSH-Caira-Gre-sec";2021-02-16;47;4,94;44,21;0;5;11,6;8,3;68;90;79;0,6
"RSH-Caira-Gre-sec";2021-02-17;48;4,94;44,21;0;5,4;16,7;11;50;98;74;2,1
"RSH-Caira-Gre-sec";2021-02-18;49;4,94;44,21;0;1,7;12,6;7,2;72;98;85;0,2
"RSH-Caira-Gre-sec";2021-02-19;50;4,94;44,21;0;7,7;14,9;11,3;60;88;74;1,1
