"site";"date";"doy";"longitude";"latitude";"pluie";"tmin";"tmax";"tmoy";"hmin";"hmax";"hmoy";"etp"
"RSH-StHil-Gre-sec";2021-01-01;1;4,58;43,96;0;4,9;7,9;6,4;63;97;80;1,5
"RSH-StHil-Gre-sec";2021-01-02;2;4,58;43,96;0;3,8;5,1;4,5;62;75;69;1,8
"RSH-StHil-Gre-sec";2021-01-03;3;4,58;43,96;9,2;2,7;4,9;3,8;61;71;66;1,7
"RSH-StHil-Gre-sec";2021-01-04;4;4,58;43,96;7,3;2,1;2,8;2,5;72;86;79;0,6
"RSH-StHil-Gre-sec";2021-01-05;5;4,58;43,96;0;-0,3;5,9;2,8;63;92;77;0,9
"RSH-StHil-Gre-sec";2021-01-06;6;4,58;43,96;0;-1,3;5,9;2,3;55;84;70;1,2
"RSH-StHil-Gre-sec";2021-01-07;7;4,58;43,96;0;-3,5;5,7;1,1;53;85;69;1,1
"RSH-StHil-Gre-sec";2021-01-08;8;4,58;43,96;0;1,9;6,9;4,4;46;79;63;2,1
"RSH-StHil-Gre-sec";2021-01-09;9;4,58;43,96;0;1,7;5,4;3,5;54;74;64;2,2
"RSH-StHil-Gre-sec";2021-01-10;10;4,58;43,96;0;2,2;4,2;3,2;50;64;57;2,4
"RSH-StHil-Gre-sec";2021-01-11;11;4,58;43,96;0;1,1;4,6;2,8;41;66;54;2,4
"RSH-StHil-Gre-sec";2021-01-12;12;4,58;43,96;0;0,4;11,1;5,7;50;71;61;1,7
"RSH-StHil-Gre-sec";2021-01-13;13;4,58;43,96;0;0,5;16,3;8,4;48;90;69;1,2
"RSH-StHil-Gre-sec";2021-01-14;14;4,58;43,96;0;2,7;15;8,9;42;90;66;1,9
"RSH-StHil-Gre-sec";2021-01-15;15;4,58;43,96;0;1,1;11,8;6,5;51;96;73;1,5
"RSH-StHil-Gre-sec";2021-01-16;16;4,58;43,96;0,2;1,5;6,3;3,9;43;79;61;1,8
"RSH-StHil-Gre-sec";2021-01-17;17;4,58;43,96;0;1,6;12,1;6,8;54;90;72;1,7
"RSH-StHil-Gre-sec";2021-01-18;18;4,58;43,96;0;3,5;10,5;7;44;82;63;2,3
"RSH-StHil-Gre-sec";2021-01-19;19;4,58;43,96;0,3;-2,4;11,8;4,7;41;84;62;1,2
"RSH-StHil-Gre-sec";2021-01-20;20;4,58;43,96;5,5;1,1;13,4;7,2;69;91;80;0
"RSH-StHil-Gre-sec";2021-01-21;21;4,58;43,96;0;10,2;14,7;12,4;72;95;84;1,1
"RSH-StHil-Gre-sec";2021-01-22;22;4,58;43,96;1,9;8,7;14,4;11,5;52;92;72;1,7
"RSH-StHil-Gre-sec";2021-01-23;23;4,58;43,96;1,5;1;12,9;6,9;54;92;73;1,1
"RSH-StHil-Gre-sec";2021-01-24;24;4,58;43,96;0;4,7;11,4;8;43;96;69;1,8
"RSH-StHil-Gre-sec";2021-01-25;25;4,58;43,96;0;2,4;10,9;6,6;37;93;65;1,6
"RSH-StHil-Gre-sec";2021-01-26;26;4,58;43,96;0,1;1,3;9,3;5,3;34;70;52;2,3
"RSH-StHil-Gre-sec";2021-01-27;27;4,58;43,96;0;2,7;14,1;8,4;44;81;62;1,7
"RSH-StHil-Gre-sec";2021-01-28;28;4,58;43,96;0;4,1;18,8;11,4;58;96;77;1,4
"RSH-StHil-Gre-sec";2021-01-29;29;4,58;43,96;0;8,4;18,6;13,5;39;94;67;2,6
"RSH-StHil-Gre-sec";2021-01-30;30;4,58;43,96;5,8;4,5;9,1;6,8;68;91;80;0,4
"RSH-StHil-Gre-sec";2021-01-31;31;4,58;43,96;1,8;2,4;16,3;9,3;52;98;75;1,3
"RSH-StHil-Gre-sec";2021-02-01;32;4,58;43,96;0;7,1;16,5;11,8;61;98;79;1,4
"RSH-StHil-Gre-sec";2021-02-02;33;4,58;43,96;0;5,9;16,5;11,2;68;94;81;0,7
"RSH-StHil-Gre-sec";2021-02-03;34;4,58;43,96;0;7;17,5;12,2;68;98;83;1
"RSH-StHil-Gre-sec";2021-02-04;35;4,58;43,96;0;5,9;13,8;9,8;81;98;90;0,3
"RSH-StHil-Gre-sec";2021-02-05;36;4,58;43,96;0;8,9;17,2;13,1;62;97;79;1,1
"RSH-StHil-Gre-sec";2021-02-06;37;4,58;43,96;16,5;7,2;17,2;12,2;60;98;79;1,3
"RSH-StHil-Gre-sec";2021-02-07;38;4,58;43,96;0;7,5;14,2;10,8;38;98;68;1,6
"RSH-StHil-Gre-sec";2021-02-08;39;4,58;43,96;5,3;2,1;11,5;6,8;63;94;78;0,7
"RSH-StHil-Gre-sec";2021-02-09;40;4,58;43,96;2,5;5,4;13,1;9,2;67;99;83;1,1
"RSH-StHil-Gre-sec";2021-02-10;41;4,58;43,96;0;4,5;16,2;10,4;41;96;69;2,2
"RSH-StHil-Gre-sec";2021-02-11;42;4,58;43,96;0;2,8;10;6,4;46;81;64;2,6
"RSH-StHil-Gre-sec";2021-02-12;43;4,58;43,96;1,1;3,1;6,6;4,9;62;73;67;1,2
"RSH-StHil-Gre-sec";2021-02-13;44;4,58;43,96;0;1,2;6,6;3,9;47;91;69;2,4
"RSH-StHil-Gre-sec";2021-02-14;45;4,58;43,96;0;-1,5;6,7;2,6;50;74;62;0,8
"RSH-StHil-Gre-sec";2021-02-15;46;4,58;43,96;0,4;-0,9;11,1;5,1;43;90;67;1,2
"RSH-StHil-Gre-sec";2021-02-16;47;4,58;43,96;0;6,7;10,8;8,7;82;97;89;0,4
"RSH-StHil-Gre-sec";2021-02-17;48;4,58;43,96;0;5,9;18,6;12,3;39;98;69;2,2
"RSH-StHil-Gre-sec";2021-02-18;49;4,58;43,96;0;4,5;12,7;8,6;79;99;89;0,1
